Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2015-03-03,127.2863540649414,127.69999002558326,126.97614143888921,127.25815291711848,208000
2015-03-04,127.39918518066406,127.46498308373175,126.34628963170562,127.28636623415709,205500
2015-03-05,126.81632995605469,127.30517381356862,126.58131080169251,126.87274660242348,232900
2015-03-06,126.80693054199219,127.83161058154543,126.62831369493733,127.21117093444747,184700
2015-03-09,127.2769775390625,127.52139230496851,126.85394591388881,127.38038654472108,174100
2015-03-10,125.67884063720703,126.3274957743837,125.59423718742667,126.1112678323713,220900
2015-03-11,125.97026062011719,126.39329220853753,125.81044932424417,126.15827306558954,222700
2015-03-12,129.2887420654297,129.42035222421853,128.01023723243873,128.01023723243873,313200
2015-03-13,128.01022338867188,128.2076457777205,127.34277706429256,127.71880195032908,393200
2015-03-16,129.2793426513672,129.86218557390123,128.9409144895404,129.12892694734836,271000
2015-03-17,128.7528839111328,129.13830437484447,128.41445579693618,128.87508410207255,816400
2015-03-18,131.68592834472656,131.85513524289675,130.19121003316937,130.76465731768522,457900
2015-03-19,131.70472717285156,132.16535549065506,131.28168126015038,131.7423239223833,310600
2015-03-20,134.5155487060547,134.90098353023274,133.9891081386064,134.09251713181445,406900
2015-03-23,136.61192321777344,137.06315591919443,136.2640851602105,136.62131881873447,480700
2015-03-24,135.85986328125,136.52730958048977,135.74704434414446,136.52730958048977,303700
2015-03-25,135.19241333007812,136.54612592697595,135.16421217967863,136.54612592697595,328600
2015-03-26,134.53436279296875,135.0514077918287,134.15833789075998,134.43095379319675,324400
2015-03-27,135.77578735351562,135.8806709217741,135.1274267853548,135.7185807797339,238100
2015-03-30,135.91880798339844,136.29066523362957,134.803236232705,135.07973950124614,484100
2015-03-31,133.38255310058594,134.38371178539487,133.21093337980633,134.32650521180167,555100
2015-04-01,132.03814697265625,132.20978125092273,131.3611830862666,131.89513053158146,358900
2015-04-02,133.5065155029297,134.34556952947787,133.13465821131786,133.32535164694352,249000
2015-04-06,134.09767150878906,134.64116308481587,133.487443776342,133.487443776342,157800
2015-04-07,133.22047424316406,134.09767572683808,133.1537235356674,133.58280197191232,260800
2015-04-08,133.43023681640625,133.84022698046127,133.048835391612,133.35395653144738,142100
2015-04-09,133.40162658691406,133.60184959415827,132.5339547582533,132.6293087467345,276700
2015-04-10,133.15370178222656,133.31580645995606,132.20976429424502,132.257441284814,320300
2015-04-13,131.16094970703125,131.58048401287968,130.8176956885168,131.26583328349335,320200
2015-04-14,132.20977783203125,132.51488441475976,131.70443368799934,132.23838111950653,171600
2015-04-15,132.6102294921875,132.89627689668987,132.22882810319254,132.753245919951,177600
2015-04-16,132.51487731933594,133.0106918573201,132.33371347570852,132.70557074195276,186500
2015-04-17,131.99046325683594,132.56255808996536,131.5804731139748,132.5244252239455,253900
2015-04-20,132.27650451660156,132.85812890192028,132.19069466031894,132.28604864439427,151600
2015-04-21,134.7555694580078,135.2990464577134,134.7078924635483,134.7937023241898,365800
2015-04-22,135.0702362060547,135.28953294784486,134.60302488321864,134.88907233497585,163600
2015-04-23,134.4695281982422,134.70789863247987,134.078597194338,134.59348547971834,393000
2015-04-24,134.6411590576172,134.8890590652982,134.42184778842395,134.68882150407313,277500
2015-04-27,134.1167449951172,134.67929572977386,134.01186142179336,134.4027924268165,273000
2015-04-28,135.4516143798828,136.19532897713614,135.01302092456768,135.56602753362122,421900
2015-04-29,134.2406768798828,135.84253363856558,133.554183467848,134.75556512512838,282900
2015-04-30,132.5530242919922,133.7925533583386,132.25744730557372,133.48743224398694,246800
2015-05-01,133.44931030273438,133.44931030273438,132.2669877113055,132.29559099949535,247100
2015-05-04,133.54464721679688,133.89743079710553,133.0869800654537,133.28720307898914,172000
2015-05-05,131.1514129638672,133.29674682516605,131.05605897266335,132.97256653343524,266100
2015-05-06,130.77955627441406,131.57094784829945,130.1502548471351,130.9321168414471,322500
2015-05-07,131.5041961669922,131.6376830249099,130.47443417063724,130.49350787861871,208500
2015-05-08,135.50881958007812,135.71858672578534,132.88674480771454,133.01070208898972,319400
2015-05-11,131.05606079101562,131.92373265648945,131.0274575030529,131.46606550010912,756700
2015-05-12,131.2563018798828,131.62815918235907,130.62700042985313,131.11327088725227,579400
